cache_policy,scheduler,feature_flag_7,n,avg_execution_time_ms,avg_throughput,avg_accuracy,avg_resource_consumption_pct,avg_reliability_score,failure_rate,quality_score,low_confidence
Adaptive,Dynamic,True,2069,373.6,1765.8,0.9118,61.0,80.9,19.77,0.6842,False
Adaptive,Dynamic,False,3776,374.0,1583.1,0.9324,61.3,90.8,9.19,0.5677,False
Static,Static,True,2067,433.7,1552.9,0.9057,61.6,78.2,20.17,0.4659,False
LRU,RoundRobin,True,1508,433.1,1548.6,0.9084,61.6,78.6,19.3,0.4654,False
Static,RoundRobin,True,1679,431.6,1554.2,0.9056,61.1,77.7,21.8,0.4622,False
FIFO,RoundRobin,True,831,433.9,1545.7,0.9055,61.0,78.4,19.25,0.4616,False
FIFO,Dynamic,True,1014,433.5,1549.3,0.9077,61.0,78.2,20.71,0.4613,False
LRU,Dynamic,True,1682,432.0,1552.0,0.9052,61.2,77.9,21.94,0.4603,False
Adaptive,RoundRobin,True,1655,434.5,1548.6,0.9064,61.5,77.7,21.39,0.4574,False
LRU,Static,True,1658,432.9,1546.3,0.9061,60.8,78.1,21.71,0.456,False
Static,Dynamic,True,1999,434.9,1547.9,0.9053,61.3,77.8,22.06,0.4559,False
FIFO,Static,True,1026,432.0,1541.1,0.9088,62.1,78.5,20.86,0.4545,False
Adaptive,Static,True,2067,435.3,1539.8,0.9053,60.6,78.0,22.59,0.4478,False
Static,Dynamic,False,3770,433.4,1371.8,0.9271,61.0,88.3,11.19,0.3489,False
LRU,RoundRobin,False,2672,432.4,1370.8,0.9267,60.8,88.1,11.6,0.3462,False
Adaptive,Static,False,3703,433.1,1368.2,0.9265,60.8,87.8,12.45,0.3408,False
Static,RoundRobin,False,3263,432.8,1366.7,0.9252,60.8,88.0,12.99,0.3389,False
Static,Static,False,3700,434.1,1361.9,0.9259,61.3,88.2,11.16,0.3388,False
LRU,Dynamic,False,3108,435.0,1364.0,0.9255,61.7,88.0,11.97,0.3386,False
FIFO,Static,False,1822,434.0,1362.8,0.9258,61.1,88.1,11.58,0.3384,False
FIFO,Dynamic,False,1892,433.8,1362.8,0.9251,61.4,88.0,12.79,0.3358,False
FIFO,RoundRobin,False,1643,432.9,1362.7,0.9253,61.4,87.6,13.33,0.3328,False
LRU,Static,False,3137,435.0,1356.6,0.9267,61.1,88.1,12.34,0.3309,False
Adaptive,RoundRobin,False,3259,436.2,1353.2,0.9259,60.9,88.4,12.46,0.3288,False
