metric,group,n,failure_rate
overall,all,55000,0.1504
cache_policy,FIFO,8228,0.15264948954788526
cache_policy,LRU,13765,0.15176171449328002
cache_policy,Static,16478,0.15068576283529556
cache_policy,Adaptive,16529,0.1478613346239942
scheduler,RoundRobin,16510,0.1532404603270745
scheduler,Static,19180,0.1527632950990615
scheduler,Dynamic,19310,0.14562402900051785
compiler_opt_level,O0,5574,0.15751704341585937
compiler_opt_level,O3,16455,0.15028866605894864
compiler_opt_level,O2,22003,0.14929782302413308
compiler_opt_level,O1,10968,0.14916119620714807
workload_type,Sequential,11089,0.15348543601767517
workload_type,Random,11003,0.1534127056257384
workload_type,Mixed,10859,0.15047426098167416
workload_type,WriteHeavy,10924,0.14930428414500185
workload_type,ReadHeavy,11125,0.14534831460674158
traffic_pattern,Steady,18252,0.15105193951347795
traffic_pattern,Burst,18262,0.15069543313985323
traffic_pattern,Spiky,18486,0.14946445959104182
node_region,us-west,13702,0.1526784411034885
node_region,ap-south,13730,0.1508375819373634
node_region,eu-central,13467,0.15044182074701118
node_region,us-east,14101,0.14772001985674776
gpu_enabled,True,21960,0.15214025500910744
gpu_enabled,False,33040,0.14924334140435835
memory_alloc_mb,<=1024,21916,0.18789925168826427
memory_alloc_mb,>4096,11063,0.1296212600560427
memory_alloc_mb,1025-2048,10958,0.12575287461215545
memory_alloc_mb,2049-4096,11063,0.12130525174003437
thread_pool_size,>16,10957,0.1895591859085516
thread_pool_size,9-16,10986,0.1846896049517568
thread_pool_size,<=4,22133,0.12781819003298245
thread_pool_size,5-8,10924,0.1223910655437569
cache_size_mb,>512,10922,0.1541842153451749
cache_size_mb,257-512,11012,0.15383218307301127
cache_size_mb,<=128,22066,0.1492794344240007
cache_size_mb,129-256,11000,0.1454545454545455
timeout_ms,<=100 (aggressive),10869,0.16294047290459102
timeout_ms,101-1000,22171,0.1491137070948536
timeout_ms,>1000,21960,0.1454918032786885
host_temperature_c,>65 (overheating),987,0.47821681864235055
host_temperature_c,56-65 (warm),5161,0.32997481108312343
host_temperature_c,<=55 (normal),48852,0.12480553508556458
seed_group,8,5564,0.42505391804457227
seed_group,4,5422,0.1289192180007377
seed_group,7,5568,0.12482040229885061
seed_group,3,5536,0.12174855491329484
seed_group,6,5457,0.11911306578706249
seed_group,5,5519,0.11831853596666064
seed_group,2,5484,0.11761487964989059
seed_group,1,5541,0.11712687240570296
seed_group,9,5416,0.11484490398818314
seed_group,0,5493,0.11287092663389764
