variable,mutual_info,model_importance,permutation_importance,p_value,effect_size,significant,test,combined_rank_score
seed_group,0.026859861800753393,0.3823968504414826,0.051609090909090924,0.0,0.2580657165842722,True,chi-square,1.0
rand_var_12,0.0010897101495506156,0.016456714505993703,0.00030000000000000024,0.313270459477044,0.004299838932861168,False,point-biserial correlation,0.869281045751634
rand_var_11,0.000669959074313331,0.01404722383633467,0.00033636363636364576,0.6437154878264254,0.0019721930340550857,False,point-biserial correlation,0.8300653594771242
rand_var_18,0.0010749589036762597,0.012658545025669135,0.00035454545454548513,0.7289500649364536,0.001477609753916976,False,point-biserial correlation,0.7254901960784315
rand_var_6,0.002878667317200767,0.012956504032857445,-0.0001818181818181719,0.6487359521360268,0.0019423815566025956,False,point-biserial correlation,0.7124183006535948
rand_var_2,0.00046083475886504743,0.012794037843105075,0.0004090909090909256,0.7564503738434785,0.0013224939929638957,False,point-biserial correlation,0.7058823529411765
rand_var_22,3.594182313815253e-05,0.012904991841412033,0.0003272727272727316,0.11561371825660004,0.00670930762724079,False,point-biserial correlation,0.6666666666666666
rand_var_30,0.0016342055074178852,0.01187106927592878,0.00021818181818183957,0.5456224198677105,0.0025769379022469304,False,point-biserial correlation,0.6535947712418301
rand_var_31,0.0018697744531481764,0.011174185073710315,0.0002454545454545598,0.6034471630718866,0.0022149886959927927,False,point-biserial correlation,0.6209150326797386
env_perturbation_level,0.0,0.013311059703666795,0.00020000000000001129,0.6781084978603328,0.0017697993619953988,False,point-biserial correlation,0.6176470588235294
rand_var_9,0.0013222513544519643,0.012104271904939132,8.1818181818194e-05,0.6475208733914687,0.0019495879260963606,False,point-biserial correlation,0.6143790849673203
rand_var_1,0.0012323449541273845,0.014206681877768612,-0.0009909090909090868,0.8695461303095247,0.0007003163257317504,False,point-biserial correlation,0.5947712418300654
rand_var_16,0.0022936477668793476,0.013193606200356436,-0.0009727272727272695,0.529014372112642,0.0026843013816249687,False,point-biserial correlation,0.5882352941176471
rand_var_37,0.0,0.012700559644886653,0.0006818181818181946,0.35759286993905437,0.0039228031516488435,False,point-biserial correlation,0.5784313725490197
rand_var_33,0.0021282049046440488,0.013270428531895811,-0.001009090909090904,0.9564327956438844,0.0002329507609103934,False,point-biserial correlation,0.5751633986928104
rand_var_17,0.0,0.012991165920411498,0.00015454545454546276,0.10444469818490133,0.00692345765470496,False,point-biserial correlation,0.5718954248366014
rand_var_43,0.00032466323685675924,0.013949499553332391,-0.0003909090909090862,0.5053061971259981,0.00284059222682358,False,point-biserial correlation,0.5718954248366014
rand_var_20,0.0006549282467926965,0.012022019175019577,0.00010909090909093644,0.22879185575746294,0.005131725253488423,False,point-biserial correlation,0.5686274509803921
rand_var_39,0.0014569210174422143,0.012824717855563687,-0.00041818181818181754,0.21217889689827282,0.005319852199372928,False,point-biserial correlation,0.562091503267974
rand_var_29,0.002332610707447502,0.011727968301875174,-9.090909090908594e-05,0.7137904205315508,0.0015639480747756955,False,point-biserial correlation,0.562091503267974
rand_var_26,0.0007802170781421314,0.012445709626813978,-9.090909090907484e-05,0.8974868516558322,0.0005493740516662351,False,point-biserial correlation,0.5620915032679739
rand_var_27,9.98679584247597e-05,0.012794516481159117,-7.272727272725766e-05,0.8768283749206203,0.000660898996394122,False,point-biserial correlation,0.5555555555555555
rand_var_36,0.0010775555484936472,0.012182534344113129,-5.4545454545440465e-05,0.5086006692418155,0.0028186493561048573,False,point-biserial correlation,0.5555555555555555
rand_var_41,0.0,0.012944551988621886,0.00013636363636363447,0.7716073771761349,0.0012377559755607404,False,point-biserial correlation,0.5522875816993463
rand_var_25,0.0,0.013915512326750274,-8.18181818181829e-05,0.06372877403699549,0.007905848276850189,False,point-biserial correlation,0.545751633986928
rand_var_21,0.0013989582264732903,0.012489884625697367,-0.00038181818181818314,0.8097722607092803,0.0010264559064118131,False,point-biserial correlation,0.5359477124183006
rand_var_35,0.0,0.012916802231239814,9.090909090910814e-05,0.9672823628117004,0.00017490094462633068,False,point-biserial correlation,0.5326797385620915
