signature,total_n,overall_failure_rate,repeatability_score,worst_seed_group,worst_seed_failure_rate,best_seed_group,best_seed_failure_rate
LRU | RoundRobin | flag7=True | higher_mem | low_threads,546,0.1575,0.984,8,0.2593,2,0.1042
Adaptive | RoundRobin | flag7=True | higher_mem | low_threads,597,0.1658,0.969,8,0.3214,0,0.0784
Static | RoundRobin | flag7=True | low_mem | low_threads,394,0.1904,0.967,8,0.3721,5,0.119
Static | Dynamic | flag7=False | low_mem | high_threads,576,0.2413,0.966,8,0.42,4,0.1587
Adaptive | Dynamic | flag7=True | higher_mem | low_threads,720,0.1667,0.965,8,0.2985,0,0.0806
Adaptive | Dynamic | flag7=True | low_mem | high_threads,344,0.3227,0.964,8,0.4857,5,0.2162
FIFO | Dynamic | flag7=False | low_mem | high_threads,316,0.2816,0.951,8,0.4706,5,0.1081
Adaptive | Static | flag7=True | low_mem | low_threads,486,0.1934,0.951,8,0.4151,4,0.1064
Static | Static | flag7=True | low_mem | low_threads,498,0.1847,0.95,8,0.381,3,0.119
Adaptive | RoundRobin | flag7=True | low_mem | high_threads,301,0.3389,0.95,8,0.5312,7,0.1724
Static | Dynamic | flag7=True | higher_mem | low_threads,731,0.2161,0.948,8,0.4714,4,0.1429
Static | Static | flag7=True | higher_mem | low_threads,704,0.1818,0.947,8,0.4091,4,0.1014
FIFO | Dynamic | flag7=True | higher_mem | high_threads,258,0.1705,0.946,8,0.2857,9,0.0
LRU | Dynamic | flag7=True | higher_mem | high_threads,421,0.1853,0.942,8,0.4186,0,0.1026
Adaptive | RoundRobin | flag7=False | higher_mem | high_threads,765,0.0784,0.942,8,0.2535,4,0.0323
Static | Static | flag7=True | higher_mem | high_threads,535,0.1701,0.942,8,0.3846,2,0.0652
Static | Dynamic | flag7=True | higher_mem | high_threads,478,0.1674,0.942,8,0.3704,1,0.0667
FIFO | RoundRobin | flag7=False | low_mem | high_threads,282,0.2518,0.94,8,0.4444,1,0.1429
Adaptive | Dynamic | flag7=True | low_mem | low_threads,502,0.1833,0.937,8,0.4286,4,0.0862
Adaptive | Static | flag7=True | higher_mem | low_threads,753,0.2072,0.937,8,0.4691,0,0.1286
Adaptive | Static | flag7=False | low_mem | high_threads,594,0.2609,0.936,8,0.5441,5,0.1667
Static | RoundRobin | flag7=True | higher_mem | low_threads,624,0.2003,0.935,8,0.4342,6,0.0556
Adaptive | RoundRobin | flag7=False | higher_mem | low_threads,1188,0.1044,0.935,8,0.3241,7,0.0606
Adaptive | RoundRobin | flag7=False | low_mem | high_threads,522,0.2682,0.933,8,0.5098,0,0.1429
LRU | Static | flag7=True | higher_mem | high_threads,371,0.1968,0.929,8,0.4565,0,0.075
FIFO | RoundRobin | flag7=False | low_mem | low_threads,363,0.0854,0.925,8,0.2812,9,0.0
LRU | Static | flag7=True | higher_mem | low_threads,617,0.1831,0.924,8,0.4839,9,0.1311
LRU | Dynamic | flag7=True | higher_mem | low_threads,612,0.2108,0.923,8,0.5065,2,0.0862
Static | RoundRobin | flag7=False | low_mem | high_threads,535,0.2841,0.921,8,0.5893,6,0.1429
Static | Static | flag7=False | low_mem | high_threads,578,0.2388,0.921,8,0.5745,4,0.15
FIFO | RoundRobin | flag7=True | higher_mem | low_threads,296,0.1419,0.921,8,0.3704,4,0.0385
LRU | Static | flag7=True | low_mem | low_threads,393,0.2214,0.919,8,0.5,6,0.0789
Static | Dynamic | flag7=True | low_mem | high_threads,320,0.3562,0.918,8,0.6341,0,0.2069
Adaptive | RoundRobin | flag7=True | higher_mem | high_threads,352,0.1932,0.918,8,0.4167,5,0.0357
Adaptive | Dynamic | flag7=False | low_mem | high_threads,600,0.2183,0.916,8,0.5,1,0.0625
Adaptive | RoundRobin | flag7=True | low_mem | low_threads,405,0.2099,0.916,8,0.4762,0,0.075
LRU | RoundRobin | flag7=True | low_mem | high_threads,238,0.3193,0.915,8,0.5862,6,0.1111
Static | Dynamic | flag7=False | higher_mem | low_threads,1362,0.0859,0.914,8,0.315,0,0.0336
LRU | Dynamic | flag7=True | low_mem | low_threads,400,0.1975,0.912,8,0.48,3,0.0541
Static | RoundRobin | flag7=False | higher_mem | low_threads,1163,0.1058,0.912,8,0.3566,1,0.0484
